Hello,greetings
good morning,greetings
good evening,greetings
good night,greetings
good afternoon,greetings
how are you,greetings
how is going,greetings
Hi ,greetings
Hey,greetings
"hello, how are you?",greetings
I need help,greetings
"hi, is anybody here?",greetings
who can help me?,greetings
"hi, how is it going?",greetings
What is coronavirus,information
What about coronavirus,information
Coronavirus,information
Covid-19,information
Covid,information
COVID,information
What is novel coronavirus,information
Coronavirus disease,information
What is coronavirus disease,information
Pneumonia,information
Tell me about pneumonia,information
About pneumonia,information
What is pneumonia,information
what is coronavirus,information
how about coronavirus,information
Symtoms of pneumonia,symptoms
what about symtoms,symptoms
symptoms,symptoms
what are symptoms like,symptoms
What are the symtoms ,symptoms
Coronavirus symtoms,symptoms
Symtoms of corona virus,symptoms
Symtoms of covid-19,symptoms
What are the symptoms of pneumonia,symptoms
Most common symptoms,symptoms
I feel no energy. ,symptoms
I have a fever.,symptoms
I cough a lot. ,symptoms
I feel no power,symptoms
About symptoms,symptoms
Any suggestions about covid?,prevention
How do I prevent covid,prevention
How do I prevent covid-19,prevention
How can I avoid corona virus,prevention
Prevention,prevention
Prevention infection,prevention
Slow transmission of covid-19,prevention
prevent coronavirus disease,prevention
How can I take precautions,prevention
What precautions should I take,prevention
Advice of precautions,prevention
Prevent the spread of covid-19,prevention
Prevent the spred of coronavirus,prevention
What should I do to avoid covid-19,prevention
Is vaccine available now,vaccine
How can I get vaccine ,vaccine
Vaccines,vaccine
Vaccination,vaccine
Vaccination registration,vaccine
Vaccine information,vaccine
How is the vaccine situation,vaccine
Vaccine in toronto ,vaccine
Can I get vaccinated,vaccine
Vaccinated,vaccine
Immune for corona virus,vaccine
Immunization,vaccine
Immune,vaccine
How can I immune for coronavirus,vaccine
About the vaccine,vaccine
How to get vaccinated,vaccine
City immunization task,vaccine
Can I travel to Canada,travel
Restriction measures,travel
Travel measures of Canada,travel
Enter Canada,travel
Can I come into Canada,travel
What is the quarantine police,travel
Will I be quarantine if I enter Canada,travel
Travel plan,travel
Travelling ,travel
Travel,travel
Fly to Canada,travel
Fight,travel
What are the travel restrictions,travel
Restriction,travel
quarantine,travel
